Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
97689,France,"Named after the French author who came from Provence, this wine is a bright, fruity style with pepper and caramel flavors. It has plenty of red fruits and attractive final acidity.",Colette,87,17.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,La Belle Collection 2015 Colette Rosé (Côtes de Provence),Rosé,La Belle Collection
121005,France,"Produced from organically grown grapes, this is the top of Troteligotte range. It is made from 25-year-old vines, and aged in amphorae. That gives a wine that is rich with soft rounded tannins and juicy blackberry fruits. It has a dense texture from aging on the lees in the amphorae. Rich and concentrated it will age and should not be drunk until 2020.",K-2,94,60.0,Southwest France,Cahors,,Roger Voss,@vossroger,Clos Troteligotte 2014 K-2 Malbec (Cahors),Malbec,Clos Troteligotte
38835,France,"Doussot is a producer in the Aube region in southern Champagne, which explains the high alcohol for Champagne. However the wine still has all the crisp, mineral character of Champagne, broadened out with pineapple and ripe orange flavors. It's a youthful wine, showing tight acidity and that would soften and round in 3–4 more years.",Ernestine Brut,88,,Champagne,Champagne,,Roger Voss,@vossroger,Veuve Doussot 2008 Ernestine Brut  (Champagne),Champagne Blend,Veuve Doussot
51628,France,"From a very good if not great Champagne vintage, this mature wine is delicious and beautifully ripe. It still has plenty of crisp acidity, allowing the fruit to shine. At the same time, a yeasty, toasty character indicates its gentle aging. After eight years in the cellar before disgorging, it is ready to drink.",Cuvée Amour de B,93,139.0,Champagne,Champagne,,Roger Voss,@vossroger,Boude Baudin 2007 Cuvée Amour de B  (Champagne),Champagne Blend,Boude Baudin
934,France,"Ripe fruit and balanced acidity allow this wine to make room for touches of wood aging. It has spice, a smoky character and attractive finishing freshness. Drink from 2017 when the wine will be fully balanced.",Vieilles Vignes,87,15.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Saintongey 2014 Vieilles Vignes  (Bordeaux),Bordeaux-style Red Blend,Château Saintongey
16723,France,"Still very young, this is a Maison Bouey wine with good potential. It offers hints of the ripe yellow fruits and richness that will come as it develops. The touch of perfumed spice means it is also a wine to savor as an apéritif.",,90,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Lestruelle 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château Lestruelle
80640,France,"Produced from a small acre of land in Margaux, this is made in the same extravagant style as the cult wines of Saint-Emilion. With 100% new wood, it is definitely modern in style, but there is sufficient concentration in the fruit to balance all that vanilla. It misses the 2006 freshness,but everything else is there.",L'Aura,90,40.0,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Cambon la Pelouse 2006 L'Aura  (Margaux),Bordeaux-style Red Blend,Château Cambon la Pelouse
110397,France,"This rosé is warm and soft, with an attractive perfume and lively acidity to balance. Its red berry fruit is finished with a touch of spice that gives a final lift to the smooth vanilla-inflected aftertaste.",Syrah,87,16.0,France Other,Vin de France,,Roger Voss,@vossroger,Florent Descombe NV Syrah Rosé (Vin de France),Rosé,Florent Descombe
38399,France,"Dark pink in color, this full wine offers tannins as well as crisp red fruits, giving it structure and a firm texture. The wine blends nearly all Bordeaux grapes: Malbec, Cabernet Franc, Cabernet Sauvignon and Merlot. Drink it chilled, like a rosé.",,84,17.0,Bordeaux,Bordeaux Clairet,,Roger Voss,@vossroger,Château Landereau 2014  Bordeaux Clairet,Bordeaux-style Red Blend,Château Landereau
28292,France,"Textured, mineral and tight wine, its crisp acidity a refreshing feature. It's very fresh, terroir-driven, a wine that shows its origins right up front. Apples and citrus add to the bright, fruity nature of this wine.",Minéral,86,,Burgundy,Mâcon-Loché,,Roger Voss,@vossroger,Cave des Grands Crus Blancs 2012 Minéral  (Mâcon-Loché),Chardonnay,Cave des Grands Crus Blancs
23893,France,"The producer is following the Provence fashion and packaging its range of Pure Loire in square bottles. This rosé is dry with red fruit and spice from the Cabernet Franc in the blend. Tangy and crisp, it is ready to drink,",Pure Loire,85,15.0,Loire Valley,Rosé de Loire,,Roger Voss,@vossroger,Bougrier 2015 Pure Loire  (Rosé de Loire),Rosé,Bougrier
126713,France,"From the Côtes de Provence, this is a lightweight sparkling rosé wine that boasts tasty strawberry and sour-apple flavors. A hint of chocolate creeps in on the finish.",Le Grand Cros La Maîtresse Rosé Brut,86,25.0,France Other,Vin Mousseux,,Joe Czerwinski,@JoeCz,Domaine du Grand Cros NV Le Grand Cros La Maîtresse Rosé Brut Sparkling (Vin Mousseux),Sparkling Blend,Domaine du Grand Cros
52522,France,A restrained nose only reveals faint hints of baked apple. The palate comes in with ripe red apple and a rather bitter edge of almond. The body is light but balanced while the finish is dry and poised.,Brut,87,20.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Henri Schoenheitz NV Brut Auxerrois (Alsace),Auxerrois,Henri Schoenheitz
83245,France,"This is a rich wine, full of juicy fruit and attractive acidity. A blend of 95% Malbec and 5% Merlot, it has touches of wood aging along with the tannins. It will develop quickly, so drink from 2018.",Arbo Malbec,88,22.0,Bordeaux,Côtes de Bordeaux,,Roger Voss,@vossroger,Vignobles Arbo 2014 Arbo Malbec  (Côtes de Bordeaux),Malbec,Vignobles Arbo
56094,France,"This wine comes from one parcel that has particularly flinty soil. With a strongly mineral character, it is tight and nervy, needing some time to calm down. The fruit is all there, fresh citrus, apples and green plums, all ready to burst out over the next few months. Drink from 2017.",Silex,90,30.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Domaine Paul Thomas 2014 Silex  (Sancerre),Sauvignon Blanc,Domaine Paul Thomas
